Concelho,Duo,Large Group,Small Group,Solo,Unknown
abrantes,5,7,2,30,0
aguiar da beira,0,1,0,4,0
alandroal,17,2,11,74,0
albergaria a velha,2,3,1,4,1
albergaria-a-velha,5,2,2,2,0
albernoa,0,9,0,1,0
albufeira,243,0,2,19,0
alcains,0,0,0,4,0
alcanena,6,24,6,14,2
alcácer do sal,6,3,0,29,0
alcântara,0,1,0,0,0
alegrete,1,0,0,0,0
alfama,9,0,9,1,0
alfãndega da fé,0,4,2,31,0
algés,0,0,0,9,0
alijó,1,0,0,1,0
aljezur,1,1,0,98,0
aljustrel,32,33,3,294,0
almada,4,3,15,12,0
almagreira,0,0,1,0,0
almalaguês,0,0,0,17,0
almeirim,4,4,42,22,0
almodovar,0,157,12,229,2
almodôvar,0,21,28,76,0
alpiarça,22,0,0,73,0
alter do chão,2,4,0,3,0
alvito,12,13,8,33,0
amadora,4,40,0,0,0
amarante,9,57,5,30,0
amares,0,4,0,10,0
anadia,7,120,21,40,0
angra do heroismo,1,1,1,7,0
angra do heroísmo,0,0,4,1,0
arcos de valdevez,19,137,18,36,0
arganil,7,25,4,131,0
arouca,5,93,18,3,0
arraiolos,11,6,0,110,0
arroios,2,1,12,42,0
arronches,0,0,0,4,0
arrábida,1,20,5,8,2
assafarge,0,0,16,0,0
avanca,0,0,0,1,0
aveiro,12,0,8,15,0
avis,1,0,0,0,0
azambuja,6,19,25,73,0
badilla de sayago,6,0,0,30,0
baião,3,2,2,11,0
bajouca,2,0,0,4,1
baleizão,3,17,4,8,0
barcelos,2,0,0,1,0
barco,0,0,0,9,0
barrancos,0,18,2,42,1
barreiro,0,0,9,4,0
beja,54,222,41,288,3
belmonte,21,4,13,43,0
benavente,17,16,44,7,0
beringel,7,17,1,19,0
berlim,0,0,0,2,0
borba,18,19,11,87,0
braga,17,27,16,42,0
bragança,3,0,4,5,0
cabeceiras de basto,0,1,1,5,0
cabeça gorda,0,9,0,0,0
cabo delgado,1,0,0,0,0
cacém,0,0,0,1,0
caldas da rainha,1,0,0,9,0
calheta,0,16,0,45,0
camacho,1,5,0,0,0
caminha,2,46,10,36,0
campeã,0,25,0,0,0
campo maior,4,5,2,0,0
candelária,1,0,0,0,0
caneiras,4,2,0,5,0
cantanhede,4,3,33,64,0
cartaxo,20,0,5,38,0
carvalhais,0,36,0,0,0
cascais,25,38,48,70,1
castanheira,0,0,0,1,0
castelo de mide,0,1,0,0,0
castelo de vide,27,59,21,55,0
castelo branco,45,4,17,153,1
castro daire,0,1,1,9,0
castro marim,1,1,0,5,0
castro verde,21,248,75,101,1
cebolais,0,0,1,0,0
cebolais de cima,0,0,0,1,0
celorico de basto,8,13,3,20,0
chamusca,0,1,2,8,0
chaves,9,32,30,31,0
cidade do méxico,0,0,0,1,0
cinfães do douro,1,11,3,4,0
coimbra,72,8,74,121,0
condeixa,0,8,0,0,0
condeixa-a-nova,0,0,0,2,0
coruche,5,0,1,18,0
covilhã,1,27,5,18,0
crato,0,0,0,8,0
cuba,65,207,9,11,0
câmara de lobos,4,0,0,9,0
elvas,4,17,17,21,0
encrobas,0,0,0,4,0
entroncamento,0,0,0,1,0
ermesinde,0,0,0,1,0
espinho,0,0,4,0,0
esposende,46,87,24,145,0
estarreja,0,0,0,3,0
estrada,0,4,0,0,0
estremoz,19,0,1,40,5
fafe,8,4,4,25,0
falfosa,0,1,0,0,0
famalicão,2,23,11,33,1
faro,5,12,18,33,0
ferreira do alentejo,1,96,2,1,0
ferreira do zêzere,1,0,0,0,0
figueira da foz,0,0,0,1,0
folhadela,0,0,0,5,0
fortios,2,0,0,0,0
freixo de espada à cinta,0,0,0,1,0
fronteira,0,0,4,1,0
funchal,22,14,10,137,0
