keywords,Duo,Large Group,Small Group,Solo,Unknown
,0,2,1,2,0
3 de março,0,0,0,1,0
abecedário,0,0,0,1,0
aboio,0,0,0,1,0
acapella,2,0,1,3,0
acordador,0,0,0,1,0
acordeonista,0,0,0,1,0
acordeão,0,1,0,2,0
acoustic fingerstyle,1,0,0,1,0
acoustic trance,0,0,2,0,0
acoustic-world-sacred-devotional-shamanic-mystic,0,0,0,2,0
acustic pop,1,1,0,0,0
acústica,0,1,1,1,0
acústico,1,0,0,1,0
adega,0,0,1,0,0
adivinha,0,0,0,6,0
adufe,0,0,0,3,0
adufe gigante,0,0,0,1,0
adufeira,5,0,0,0,0
adufeiras,0,1,0,0,0
adufes,0,0,0,1,0
adélia,0,0,0,1,0
adélia garcia,2,1,1,4,0
aerofone,4,0,0,16,0
afinação,0,0,0,1,0
africana,0,0,0,1,0
afro beat,0,2,0,0,0
afro-beat,0,1,0,0,0
agricultura,0,0,0,2,0
alentejano,0,8,1,0,0
alfaiate,0,0,0,1,0
algarvia,2,0,1,0,0
alimentação,0,0,0,1,0
alma,1,1,0,4,0
almanaque,0,0,0,1,0
almas,0,2,1,0,0
alternative,0,0,1,0,0
alternative rock,0,0,2,0,0
alternativo,1,1,0,0,0
alto,0,35,1,1,0
amarantina,1,0,0,0,0
ana valadas,1,0,0,0,0
anedota,0,0,0,6,0
anedotas,0,0,0,3,0
angola,0,0,0,3,0
animais,0,0,0,1,0
aniversário,0,2,0,0,1
antanho,0,1,1,0,0
apontamento,1,1,2,1,0
aprender,3,0,0,0,0
aprendiz,1,0,0,0,0
arquivo,2,1,5,8,0
arquivo canção de coimbra,8,0,3,10,0
arraiolos,0,0,0,2,0
arruada,0,1,0,0,0
arte,0,0,0,1,0
artesanato,2,1,0,5,0
artesã,0,1,0,0,0
artesão,0,0,0,5,0
artista,0,0,0,1,0
artur paredes,0,0,0,1,0
astesanato,0,1,0,0,0
auto,0,0,0,3,0
avieiro,0,0,0,1,0
azeitona,1,0,1,0,0
açores,0,0,0,1,0
badalos,0,0,0,1,0
bailadores,0,3,0,0,0
baile,5,20,15,3,1
baile mandado,0,3,0,2,0
bailes,1,0,0,1,0
bailinho,1,0,0,1,0
balada,0,0,0,2,0
baldão,1,0,0,1,0
balkan,0,1,0,0,0
banda,20,35,74,7,0
banda filarmónica,0,2,0,0,0
barrete,0,0,0,1,0
barro,0,0,0,2,0
batida,0,0,0,2,0
beat box,0,0,2,0,0
beatbox,0,0,0,5,0
benza,1,0,0,0,0
benzedura,0,0,0,1,1
benzer,0,0,0,1,0
benção,11,0,2,11,0
berrar à eira,0,0,0,1,0
blues,2,1,11,11,0
boas festas,0,0,0,1,0
bolsa relógio,0,0,0,1,0
bombeiros,0,1,0,0,0
bombo,0,1,0,0,0
bonecas,0,1,1,1,0
boneco,2,0,0,0,0
bonecos da orada,0,0,1,1,0
bonecos de barro,0,0,1,0,0
bonecos de santo aleixo,1,0,0,5,1
bons sons,0,1,0,0,0
bordado,0,0,0,3,0
bordados,0,0,0,1,0
bossa nova,0,0,0,5,0
bossa-nova,0,0,1,0,0
branda,0,0,2,0,0
brasil,0,0,0,3,0
brincadeira,0,1,5,1,0
brinquedo,1,0,1,4,0
bruxas,0,0,0,1,0
buinho,0,0,0,1,0
buzina,0,0,0,1,0
búzio,0,0,0,3,0
cabresto,0,0,0,2,0
cagarrinha,1,0,0,0,0
campaniça,0,7,0,4,0
campino,1,0,0,2,0
campo,0,0,0,1,0
campo de futebol,0,0,0,1,0
camões,1,0,0,1,0
cantadeira,25,7,14,90,0
cantadeiras,7,83,25,4,0
cantador,2,1,1,25,0
cantadores,0,1,1,0,0
cantar dos reis,0,0,0,1,0
cantares,18,138,36,43,0
cantarolar,0,0,0,1,0
cantarolas,0,6,1,0,0
cantas,0,6,1,0,0
cantata,0,3,0,0,0
cantautor,4,0,3,14,0
cantautora,0,0,1,3,0
cante,37,380,49,56,1
cante alentejano,0,18,5,1,0
cantiaga,1,0,0,0,0
cantiga,34,12,12,124,0
cantiga de intervenção,0,5,0,0,0
cantiga de roda,0,2,0,0,0
cantiga de trabalho,0,1,1,1,0
cantiga tradicional,0,0,1,0,0
cantigas,0,1,1,9,0
canto,11,118,18,16,0
canto polifónico,0,92,15,3,0
canção,0,0,0,2,0
canção de coimbra,2,1,5,2,0
canção de embalar,1,0,0,0,0
capachos,0,0,1,0,0
capoeira,0,1,0,0,0
carcanholas,0,0,0,2,0
