voice,Duo,Large Group,Small Group,Solo,Unknown
,6,10,16,14,0
...,0,1,0,0,0
....,0,0,1,0,0
.........,0,0,1,0,0
?,1,0,0,1,0
a dufe,0,1,0,0,0
ableton live,0,0,2,1,0
acodeão,0,4,0,0,0
acordeoão,0,3,0,1,0
acordeão,103,177,93,171,2
acordeão cromatico,1,0,0,1,0
acordeão cromático,1,0,0,3,0
acústica,1,0,1,0,0
adufe,43,70,66,58,0
adufe e guitarra acústica,1,0,0,0,0
adufes,0,2,0,0,0
adufes feitos de materiais recilados e shaker,0,1,0,0,0
agogô,0,1,0,0,0
alaúde,1,0,1,1,0
alface,0,0,0,1,0
altifalante,0,0,0,1,0
amplifcador,1,0,0,0,0
amplificador,1,0,2,1,0
amplificador e glockenspiel.,0,0,1,0,0
ancinho,0,0,1,0,0
apito de barro,0,0,0,1,0
apitos,0,0,0,1,0
assobiar,0,0,0,1,0
atabaque,0,1,0,0,0
autoharp,0,0,2,0,0
azeitona,1,0,0,0,0
badalo,1,2,1,1,0
baile,0,0,1,0,0
baixo,7,17,44,2,0
baixo acústico,0,9,8,0,0
baixo acústico e bateria,0,2,0,0,0
baixo acústicos,0,0,2,0,0
baixo elétrico,1,0,2,1,0
balafon,1,1,0,0,0
balafon e bateria,0,0,1,0,0
balde,0,0,0,1,0
bambu,3,0,0,0,0
bandola,0,0,1,0,0
bandolim,18,85,28,21,0
bandolim elétrico,0,0,1,0,0
banjo,4,11,4,8,0
banjolim,0,0,0,1,0
banjom viola acústica,0,0,1,0,0
baquetas,0,1,2,0,0
barco,0,0,0,1,0
barril,0,0,0,1,0
barro,0,1,0,4,1
batata,0,0,1,0,0
bateria,23,53,91,6,0
bateria tradicional,0,0,7,0,0
bateria??,0,0,1,0,0
beat box,0,0,1,0,0
berimbau,0,2,0,0,0
berimbau dan moi,1,0,1,0,0
berlindes,0,0,0,2,0
berço,1,0,0,0,0
bexigoncelo,0,0,0,1,0
bola,1,0,0,0,0
bomba,1,0,0,0,0
bombardino,0,3,0,0,0
bombo,12,203,134,29,1
bombo e caixa,0,5,2,0,0
bombo e gaita-de-fole,0,0,2,0,0
bombo ou mouco beirão,0,0,1,0,0
boneco,5,0,0,3,1
bonecos,2,0,0,3,1
bongo,3,2,3,0,0
bongos,0,2,0,0,0
bouzoki,1,0,0,0,0
bouzouki,1,1,3,0,0
braginha,0,2,0,0,0
braguinha,9,6,4,11,0
braguinha e viola de arame,1,0,0,0,0
braguinha ou machete,0,1,0,0,0
braguinha ou machete e baixo acústico,0,2,0,0,0
braguinha???,0,0,0,1,0
brajão,1,0,0,0,0
braquinha,0,0,1,0,0
brinquedos,0,0,1,0,0
brinquinho,0,4,0,1,0
búzio,2,0,0,12,0
cabaça,0,3,0,0,0
caixa,15,75,94,26,0
caixa acordeão,0,1,0,0,0
caixa de música,0,0,0,1,0
caixa de pastilhas,0,0,0,1,0
caixa de ritmos,0,0,0,1,0
caixa de som,0,1,3,0,0
caixa e bombo,0,1,3,0,0
caixa e flauta,0,1,0,0,0
caixa e gaita de foles,0,2,1,0,0
caixa e tarola,0,1,0,0,0
caixa e violino,0,0,1,0,0
caixa??,0,0,0,1,0
cajon,1,3,3,0,0
cajón,11,38,58,3,0
cajóns,0,2,1,0,0
cana,0,2,1,3,0
cana rachada,2,7,2,8,0
cano,0,2,0,0,0
cante,0,0,2,0,0
canto,0,1,0,0,0
carcanholas,0,0,1,0,0
cardadeira,0,1,0,0,0
carrilhão,0,0,0,1,0
carro,0,0,0,0,1
carros,0,0,0,0,1
cassetes,0,0,1,0,0
castanha,0,0,1,0,0
castanhetas,0,0,0,2,0
castanhola colher,0,0,1,0,0
castanholas,5,26,9,13,0
castenhetas,0,0,1,0,0
catavento,0,0,0,2,0
cavalo,0,0,0,1,0
cavaquinho,20,120,27,46,1
cavaquinho de brincar,0,2,0,0,0
cavaquinho e tarang,0,1,0,0,0
cavaquinho e violão baixo,0,0,1,0,0
cavaquinho minhoto,2,0,3,11,0
cavaquinhos,0,1,0,0,0
caxixi,0,1,0,0,0
cestos,0,2,2,0,0
charango,0,0,1,0,0
charrasco,0,0,0,3,0
chave,0,0,0,1,0
chocalho,1,2,1,0,0
chocalho...,1,2,0,8,0
chocalhos,1,11,9,3,0
chocalhos (pé),0,0,1,0,0
chocalhos e pedras,0,0,0,2,0
chocalhos e tambores,0,1,0,0,0
chocalohos,0,1,0,0,0
chuveiro,0,0,0,1,0
chávenas de café,0,0,1,0,0
circuit-bending,1,0,0,1,0
clarim,0,1,1,0,0
clarinete,2,66,10,6,0
clavas,0,1,1,0,0
cobrão,0,0,1,0,0
coco,0,1,0,0,0
coco percutido e tambor de água,0,0,1,0,0
colher,0,1,0,3,0
comida,0,0,0,1,0
computador,2,0,0,0,0
computadores,1,0,0,0,0
concertina,23,13,17,20,0
concertinas,0,0,1,0,0
conchas,0,1,0,1,0
conga,1,0,0,0,0
congas,0,1,2,0,0
contra-baixo,1,1,2,0,0
contrabaixo,4,39,42,12,0
contralto,0,5,0,1,0
corda,0,0,0,1,0
cordofone,1,0,0,1,0
cordofones,0,1,2,1,0
corpo,0,0,0,2,0
cortiça,0,0,1,1,0
cájon,0,3,0,0,0
cântaro,1,1,1,0,0
cítara,5,0,1,0,0
cítara chinesa,0,0,0,1,0
da line6 (stompbox).,3,0,0,0,0
dança,1,1,2,0,0
darbouka,1,0,1,0,0
darbuka,1,0,1,0,0
de arame,2,0,1,3,0
didgeridoo,5,0,1,2,0
didgeridoo de papel,0,0,0,1,0
didgeridoo e balafon,1,0,0,0,0
didgiridoo,0,0,2,0,0
distorção,1,0,0,0,0
djembe,2,1,0,0,0
djembé,3,1,2,0,0
documentário,0,1,0,0,0
dohl,0,3,0,0,0
dum dum e acordeão cromático,0,1,0,0,0
dunun,1,1,0,0,0
electrofone,0,0,1,0,0
electrofones analógicos,0,0,1,0,0
eletrofone,0,0,0,1,0
elevador,0,0,1,0,0
enchada,0,2,2,0,0
entrevista,1,0,0,1,1
enxada,0,0,1,1,0
erva cidreira,0,0,0,1,0
escadas,0,0,0,1,0
estrancanholas,0,0,0,1,0
eufónio,0,1,2,0,0
fagote,0,0,2,0,0
faluta transcersal,0,1,0,0,0
fecho eclair,0,0,1,0,0
fecho éclair,0,0,0,1,0
feminino,0,1,0,0,0
ferramentas,0,2,0,4,0
ferrinhos,4,16,2,0,0
ferrinhos ou triângulo,0,3,0,0,0
ferro,0,1,1,1,0
ferros,0,0,1,0,0
fiadeira,0,1,0,0,0
fiddle,1,3,0,0,0
filme,0,1,0,0,0
finger cymbals,0,0,1,0,0
flauta,7,15,7,15,0
flauta de bisel,4,5,0,0,0
flauta de bísel,0,0,0,1,0
flauta de pã,0,0,0,1,0
flauta de tamborileiro,0,0,0,7,0
flauta de travessa,0,0,0,5,0
flauta de três buracos,0,0,0,0,1
flauta dupla,0,0,0,1,0
flauta ed bísel,0,1,0,0,0
flauta peruana,0,0,0,1,0
flauta transcersal,0,1,0,0,0
flauta transversal,1,49,8,3,0
flauta travessa,3,0,0,0,0
flautas de bisel,0,0,1,0,0
fluata transversal,0,0,1,0,0
foice,0,0,1,0,0
folha de platáno,0,0,0,1,0
folhas,0,1,0,0,0
fraita,0,0,2,0,0
fraita ou flauta de tamborileiro e tamboril,0,0,0,0,1
frame drum,0,0,1,0,0
fretless,0,0,1,0,0
funil,1,0,0,0,0
gait de foles,0,1,0,0,0
gaita,1,0,0,0,0
gaita de beiços,2,1,6,11,0
gaita de foldes,0,0,0,2,0
gaita de fole,0,2,8,14,0
gaita de foles,14,54,82,41,0
gaita de foles mirandesa,0,0,0,8,0
gaita de roncos,0,0,1,1,0
gaita-de-fole,0,1,1,0,0
gaita-de-fole galega,0,1,0,0,0
gaita-de-fole galega e rabeca-do-diabo,0,0,1,0,0
gaita-de-fole mirandesa,0,2,3,0,0
gaita-de-foles,0,0,1,0,0
gaitas de fole,1,0,0,0,0
gaitas de foles,0,2,0,0,0
gaite de foles,0,0,7,1,0
gancho de cabelo,0,0,1,0,0
gandolim,0,1,0,0,0
ganzá,0,1,0,0,0
garagab,0,2,0,0,0
garrafa,0,1,0,0,0
garrafas,0,1,1,0,0
genebres,1,0,0,1,0
geradores e captadores de som,0,0,1,0,0
glockenspiel,0,0,1,0,0
glockenspiel e gongo,0,0,1,0,0
godos,0,0,1,0,0
grilinho,0,0,0,1,0
guitalele,0,0,2,0,0
guitarra,8,18,21,8,0
guitarra acustica,0,0,1,0,0
guitarra acústica,44,34,61,47,1
guitarra acústica e bandolim,0,0,2,0,0
guitarra acústica e guitarra portuguesa,0,1,1,0,0
guitarra alto de 11 cordas,0,0,0,2,0
guitarra cl,1,0,0,0,0
guitarra classica,0,2,1,0,0
guitarra clásica,2,0,1,7,0
guitarra de arames,0,0,1,0,0
guitarra de coimbra,0,1,1,0,0
guitarra e percussão,0,0,1,0,0
guitarra e viola da terra,2,0,0,1,0
guitarra electrica,2,1,8,1,0
guitarra elécrica,0,0,2,0,0
guitarra lira,0,0,0,2,0
guitarra portuguesa,36,43,102,42,0
guitarra portuguesa eléctrica,0,0,1,0,0
guitarra; acordeão. baixo,0,0,1,0,0
guitarrra clássica,2,0,0,0,0
guitolão,0,0,0,2,0
guitrra portuguesa,0,1,0,0,0
guizos,0,0,0,6,0
gumbri,1,0,0,0,0
hamónica,1,0,0,0,0
hamónio,0,1,0,0,0
handpan,1,0,0,0,0
handpan drum,0,0,0,2,0
harmonium,0,0,1,0,0
harmónica,12,10,9,107,1
harmónica e viola viola campaniça,2,0,0,0,0
harmónica ou gaita-de-beiços e viola viola campaniça,1,0,0,0,0
harmónicas,0,6,0,1,0
harmónio,6,1,0,4,0
harmónio e tablas,1,0,0,0,0
harpa,0,6,5,6,1
https://vimeo.com/54018382,1,0,0,0,0
instrumentos agrícolas,0,0,1,0,0
instrumentos de papel,0,2,0,0,0
instrumentos de percussão,0,0,1,0,0
iphone,0,0,0,1,0
joão aguardela,1,0,0,0,0
junta de vacas,0,0,0,1,0
kalimba,2,0,0,0,0
kazoo,0,0,1,1,0
kissange,0,0,1,0,0
kora,0,0,0,3,0
lapsteel guitar,0,0,0,1,0
lata,1,0,0,1,0
linho,0,1,0,0,0
loop,4,0,1,0,0
loop station,4,0,0,3,0
loopstation,0,0,0,4,0
m13,3,0,0,0,0
machete,0,1,0,1,0
madeira,0,0,1,0,0
manivela,0,0,0,1,0
mar,0,5,0,1,2
maracas,0,2,1,3,0
marioneta,0,0,0,1,0
martelo,0,0,0,1,0
massa de pastel,1,0,0,0,0
massa de pão,0,0,0,1,0
megafone,0,0,1,0,0
melódica,1,8,22,0,0
melódica +,0,0,1,0,0
mesa,0,0,0,1,0
mesa de dj,1,0,0,0,0
mesa de mistura,3,2,0,10,0
mesa de olaria,0,0,0,2,1
mesa de som/mistura,2,0,0,0,0
metais,0,1,1,0,0
metalofone,1,14,9,2,0
metalofone ou glockenspiel,0,1,0,0,0
metrónomo,0,0,1,0,0
microfone de contacto,0,0,1,0,0
milho,0,1,0,0,1
moda,0,0,0,1,0
moinho,0,0,0,1,1
moinho de água,0,0,0,0,1
máquina de barbear,0,0,1,0,0
máquina de costura,1,0,0,0,0
máquina de escrever,0,0,1,0,0
máquinas,0,0,0,2,1
mãos,1,0,0,0,0
mó,0,0,0,1,2
natureza,0,1,0,0,4
nyckelharpa,0,1,0,0,0
o percussionista toca pandeireta com o pé,0,0,1,0,0
objectos de percussão,0,0,1,0,0
oboé,1,1,2,0,0
obras,0,0,0,1,0
ocarina,0,2,1,2,0
ocean drum,0,2,2,0,0
oceandrum,0,1,0,0,0
omnichord,0,2,0,0,0
orgão,5,8,16,5,0
orgão portativo e rabel,1,0,1,0,0
oscilador de electrodos,0,0,0,1,0
