video_number,vimeo_link,nº do projecto,nome,tema,sample_1,sample_2,sample_3,sample_4,sample_5,remarks,consistency,performer_category,upload_date,location,keywords,voice
1,https://vimeo.com/23630131,1,Jorge Cruz,Tão lindo,"2 performers (Duo, conf: 0.71)","2 performers (Duo, conf: 0.64)","2 performers (Duo, conf: 0.66)","2 performers (Duo, conf: 0.61)","2 performers (Duo, conf: 0.72)",Consistent (100%),100,duo (2),2011-05-12,,"rock alternativo, acústico","Voz, viola Acústica"
2,https://vimeo.com/23632349,1,Jorge Cruz,Balada da sede,"1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2011-05-12,,"cantautor, folk","Voz, Viola Acústica"
3,https://vimeo.com/23912552,1,Jorge Cruz,juízo final (II) / careless whispers,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2011-05-18,,"folk, soul, cover","Voz, Viola Acústica"
4,https://vimeo.com/23631737,1,Jorge Cruz,Nada,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2011-05-12,,,"Voz, Viola Acústica"
5,https://vimeo.com/23682030,1,"Jorge Cruz interpreta ""Conversa de Cama""",Conversa de Cama (Feromona),"2 performers (Duo, conf: 0.61)","2 performers (Duo, conf: 0.61)","1 performers (Solo, conf: 0.86)","2 performers (Duo, conf: 0.61)","1 performers (Solo, conf: 0.72)",Mostly consistent (60%),60,duo (2),2011-05-13,,,"Voz, Viola Acústica"
6,https://vimeo.com/922840580,1,Jorge Cruz,"""Esta moda vem da Serra""","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.82)",Consistent (100%),100,solo (1),2024-03-13,,Berrar à Eira,"Voz, viola Acústica"
7,https://vimeo.com/23682876,2,Márcia,37 segundos ao fim do dia,"1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.78)","2 performers (Duo, conf: 0.49)",Mostly consistent (80%),80,solo (1),2011-05-13,,"pop, rock, indie, folk","Voz, Viola Acústica"
8,https://vimeo.com/23630369,2,Márcia,Misturas,"2 performers (Duo, conf: 0.75)","1 performers (Solo, conf: 0.75)","2 performers (Duo, conf: 0.62)","1 performers (Solo, conf: 0.73)","2 performers (Duo, conf: 0.64)",Mostly consistent (60%),60,duo (2),2011-05-12,,"pop, rock, indie, folk","Voz, Viola Acústica"
9,https://vimeo.com/23630781,2,Márcia,A pele que há em mim,"1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.74)",Consistent (100%),100,solo (1),2011-05-12,,"pop, rock, indie, folk","Voz, Viola Acústica"
10,https://vimeo.com/23631279,2,Márcia,Reino costa azul,"1 performers (Solo, conf: 0.64)","1 performers (Solo, conf: 0.73)","2 performers (Duo, conf: 0.50)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.77)",Mostly consistent (80%),80,solo (1),2011-05-12,,"pop, rock, indie, folk","Voz, Viola Acústica"
