epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.907,1.70044,1.54786,1.54019,0.59629,0.66293,0.63432,0.3436,1.3808,1.96911,1.3897,0.00046,0.00046,0.00046
2,317.508,1.48938,1.23055,1.41073,0.71318,0.69453,0.76903,0.45209,1.34867,1.12436,1.3879,0.000902776,0.000902776,0.000902776
3,479.35,1.47693,1.1747,1.39397,0.75358,0.68141,0.79254,0.48115,1.28346,1.11657,1.3476,0.00130754,0.00130754,0.00130754
4,640.017,1.44871,1.16525,1.39388,0.74171,0.67804,0.786,0.47209,1.30592,1.0542,1.36281,0.00167428,0.00167428,0.00167428
5,797.631,1.41342,1.13917,1.36259,0.7457,0.68151,0.76067,0.4594,1.30408,1.10445,1.3228,0.0016832,0.0016832,0.0016832
6,955.366,1.38205,1.1232,1.3522,0.73687,0.68966,0.76932,0.46616,1.28902,1.02803,1.33732,0.001604,0.001604,0.001604
7,1113.62,1.38109,1.10102,1.3459,0.75655,0.70789,0.79445,0.46693,1.39684,0.99916,1.40061,0.0015248,0.0015248,0.0015248
8,1274.75,1.36439,1.08071,1.34378,0.74022,0.71994,0.79148,0.47353,1.34595,1.01433,1.3505,0.0014456,0.0014456,0.0014456
9,1433.94,1.35487,1.07196,1.34766,0.69633,0.73881,0.78666,0.44767,1.44053,1.04459,1.4168,0.0013664,0.0013664,0.0013664
10,1593.31,1.37916,1.10161,1.36963,0.75373,0.72435,0.81429,0.50282,1.28327,0.96891,1.34121,0.0012872,0.0012872,0.0012872
11,1751.25,1.31797,1.04714,1.32557,0.77401,0.70362,0.8086,0.50489,1.25859,0.96707,1.32037,0.001208,0.001208,0.001208
12,1912.32,1.33514,1.0419,1.33551,0.76793,0.71215,0.81803,0.50914,1.24874,0.95346,1.32398,0.0011288,0.0011288,0.0011288
13,2069.74,1.29628,1.02063,1.31923,0.7635,0.71429,0.80625,0.5054,1.26134,0.95244,1.31402,0.0010496,0.0010496,0.0010496
14,2228.06,1.28604,0.99917,1.31103,0.79092,0.70174,0.81856,0.51858,1.23289,0.92551,1.31439,0.0009704,0.0009704,0.0009704
15,2385.94,1.27081,0.98874,1.29272,0.76441,0.74716,0.81449,0.50731,1.2435,0.94076,1.32195,0.0008912,0.0008912,0.0008912
16,2541.27,1.27131,1.05209,1.30392,0.76465,0.73348,0.82439,0.50465,1.2829,0.95352,1.3341,0.000812,0.000812,0.000812
17,2701.97,1.21779,0.9459,1.2737,0.78595,0.73667,0.8306,0.52536,1.20622,0.91976,1.29898,0.0007328,0.0007328,0.0007328
18,2860.07,1.19209,0.98213,1.25795,0.78383,0.74995,0.8286,0.53494,1.18634,0.89004,1.2835,0.0006536,0.0006536,0.0006536
19,3387.8,1.1865,0.91288,1.24782,0.78115,0.73774,0.81486,0.51955,1.2126,0.91103,1.28732,0.0005744,0.0005744,0.0005744
20,4235.56,1.17414,0.87367,1.24342,0.81501,0.69829,0.82662,0.53344,1.20367,0.88612,1.28562,0.0004952,0.0004952,0.0004952
21,4530.96,1.16672,0.85602,1.24768,0.7855,0.74094,0.83955,0.54421,1.17643,0.87036,1.2745,0.000416,0.000416,0.000416
22,4699.11,1.14305,0.86029,1.21656,0.77599,0.71277,0.81735,0.52614,1.20137,0.89561,1.28896,0.0003368,0.0003368,0.0003368
23,4897,1.13299,0.83995,1.23654,0.79562,0.72212,0.83325,0.54405,1.17142,0.87424,1.27703,0.0002576,0.0002576,0.0002576
24,5079.58,1.13734,0.85801,1.23384,0.79431,0.73694,0.83516,0.54779,1.18084,0.86678,1.28224,0.0001784,0.0001784,0.0001784
25,5268.37,1.1141,0.84133,1.21899,0.78199,0.74568,0.83155,0.55115,1.16131,0.8541,1.27281,9.92e-05,9.92e-05,9.92e-05
